file_path,emotion,speaker_id,gender,dataset,mel_path,mel3_path,mfcc_path,label
data/savee\JK_n27.wav,neutral,savee_JK,male,savee,mel_spectrograms\savee_savee_JK_04374.npy,mel_3channel\savee_savee_JK_04374.npy,mfccs\savee_savee_JK_04374.npy,4
data/ravdess\Actor_19\03-01-01-01-01-01-19.wav,neutral,ravdess_19,male,ravdess,mel_spectrograms\ravdess_ravdess_19_00936.npy,mel_3channel\ravdess_ravdess_19_00936.npy,mfccs\ravdess_ravdess_19_00936.npy,4
data/tess\OAF_angry\OAF_void_angry.wav,angry,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02030.npy,mel_3channel\tess_tess_OAF_02030.npy,mfccs\tess_tess_OAF_02030.npy,0
data/tess\OAF_Fear\OAF_talk_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01413.npy,mel_3channel\tess_tess_OAF_01413.npy,mfccs\tess_tess_OAF_01413.npy,2
data/ravdess\Actor_07\03-01-03-02-01-01-07.wav,happy,ravdess_07,male,ravdess,mel_spectrograms\ravdess_ravdess_07_00320.npy,mel_3channel\ravdess_ravdess_07_00320.npy,mfccs\ravdess_ravdess_07_00320.npy,3
data/tess\OAF_neutral\OAF_turn_neutral.wav,neutral,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02626.npy,mel_3channel\tess_tess_OAF_02626.npy,mfccs\tess_tess_OAF_02626.npy,4
data/tess\OAF_Sad\OAF_lid_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01733.npy,mel_3channel\tess_tess_OAF_01733.npy,mfccs\tess_tess_OAF_01733.npy,5
data/tess\YAF_sad\YAF_puff_sad.wav,sad,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03975.npy,mel_3channel\tess_tess_YAF_03975.npy,mfccs\tess_tess_YAF_03975.npy,5
data/tess\OAF_angry\OAF_such_angry.wav,angry,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02010.npy,mel_3channel\tess_tess_OAF_02010.npy,mfccs\tess_tess_OAF_02010.npy,0
data/ravdess\Actor_13\03-01-06-01-01-01-13.wav,fearful,ravdess_13,male,ravdess,mel_spectrograms\ravdess_ravdess_13_00652.npy,mel_3channel\ravdess_ravdess_13_00652.npy,mfccs\ravdess_ravdess_13_00652.npy,2
data/tess\OAF_happy\OAF_pass_happy.wav,happy,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02366.npy,mel_3channel\tess_tess_OAF_02366.npy,mfccs\tess_tess_OAF_02366.npy,3
data/tess\OAF_Sad\OAF_void_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01830.npy,mel_3channel\tess_tess_OAF_01830.npy,mfccs\tess_tess_OAF_01830.npy,5
data/ravdess\Actor_13\03-01-06-01-02-02-13.wav,fearful,ravdess_13,male,ravdess,mel_spectrograms\ravdess_ravdess_13_00655.npy,mel_3channel\ravdess_ravdess_13_00655.npy,mfccs\ravdess_ravdess_13_00655.npy,2
data/tess\OAF_Pleasant_surprise\OAF_ditch_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01480.npy,mel_3channel\tess_tess_OAF_01480.npy,mfccs\tess_tess_OAF_01480.npy,6
data/tess\YAF_disgust\YAF_pass_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02966.npy,mel_3channel\tess_tess_YAF_02966.npy,mfccs\tess_tess_YAF_02966.npy,1
data/ravdess\Actor_17\03-01-04-02-01-01-17.wav,sad,ravdess_17,male,ravdess,mel_spectrograms\ravdess_ravdess_17_00848.npy,mel_3channel\ravdess_ravdess_17_00848.npy,mfccs\ravdess_ravdess_17_00848.npy,5
data/tess\OAF_disgust\OAF_when_disgust.wav,disgust,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02237.npy,mel_3channel\tess_tess_OAF_02237.npy,mfccs\tess_tess_OAF_02237.npy,1
data/ravdess\Actor_23\03-01-08-01-02-02-23.wav,surprised,ravdess_23,male,ravdess,mel_spectrograms\ravdess_ravdess_23_01191.npy,mel_3channel\ravdess_ravdess_23_01191.npy,mfccs\ravdess_ravdess_23_01191.npy,6
data/tess\YAF_pleasant_surprised\YAF_hash_ps.wav,surprised,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03704.npy,mel_3channel\tess_tess_YAF_03704.npy,mfccs\tess_tess_YAF_03704.npy,6
data/tess\YAF_disgust\YAF_such_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03010.npy,mel_3channel\tess_tess_YAF_03010.npy,mfccs\tess_tess_YAF_03010.npy,1
data/tess\OAF_Pleasant_surprise\OAF_tip_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01622.npy,mel_3channel\tess_tess_OAF_01622.npy,mfccs\tess_tess_OAF_01622.npy,6
data/tess\OAF_happy\OAF_far_happy.wav,happy,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02287.npy,mel_3channel\tess_tess_OAF_02287.npy,mfccs\tess_tess_OAF_02287.npy,3
data/tess\OAF_Sad\OAF_puff_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01775.npy,mel_3channel\tess_tess_OAF_01775.npy,mfccs\tess_tess_OAF_01775.npy,5
data/ravdess\Actor_08\03-01-01-01-02-01-08.wav,neutral,ravdess_08,female,ravdess,mel_spectrograms\ravdess_ravdess_08_00366.npy,mel_3channel\ravdess_ravdess_08_00366.npy,mfccs\ravdess_ravdess_08_00366.npy,4
data/savee\JE_a06.wav,angry,savee_JE,male,savee,mel_spectrograms\savee_savee_JE_04173.npy,mel_3channel\savee_savee_JE_04173.npy,mfccs\savee_savee_JE_04173.npy,0
data/ravdess\Actor_21\03-01-08-01-02-02-21.wav,surprised,ravdess_21,male,ravdess,mel_spectrograms\ravdess_ravdess_21_01087.npy,mel_3channel\ravdess_ravdess_21_01087.npy,mfccs\ravdess_ravdess_21_01087.npy,6
data/ravdess\Actor_13\03-01-08-02-01-01-13.wav,surprised,ravdess_13,male,ravdess,mel_spectrograms\ravdess_ravdess_13_00672.npy,mel_3channel\ravdess_ravdess_13_00672.npy,mfccs\ravdess_ravdess_13_00672.npy,6
data/tess\YAF_disgust\YAF_death_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02876.npy,mel_3channel\tess_tess_YAF_02876.npy,mfccs\tess_tess_YAF_02876.npy,1
data/tess\OAF_angry\OAF_size_angry.wav,angry,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02004.npy,mel_3channel\tess_tess_OAF_02004.npy,mfccs\tess_tess_OAF_02004.npy,0
data/tess\YAF_happy\YAF_soup_happy.wav,happy,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03406.npy,mel_3channel\tess_tess_YAF_03406.npy,mfccs\tess_tess_YAF_03406.npy,3
data/tess\YAF_sad\YAF_five_sad.wav,sad,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03890.npy,mel_3channel\tess_tess_YAF_03890.npy,mfccs\tess_tess_YAF_03890.npy,5
data/tess\OAF_angry\OAF_wash_angry.wav,angry,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02034.npy,mel_3channel\tess_tess_OAF_02034.npy,mfccs\tess_tess_OAF_02034.npy,0
data/tess\YAF_neutral\YAF_soap_neutral.wav,neutral,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03605.npy,mel_3channel\tess_tess_YAF_03605.npy,mfccs\tess_tess_YAF_03605.npy,4
data/ravdess\Actor_15\03-01-04-01-01-01-15.wav,sad,ravdess_15,male,ravdess,mel_spectrograms\ravdess_ravdess_15_00740.npy,mel_3channel\ravdess_ravdess_15_00740.npy,mfccs\ravdess_ravdess_15_00740.npy,5
data/tess\OAF_Fear\OAF_rag_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01376.npy,mel_3channel\tess_tess_OAF_01376.npy,mfccs\tess_tess_OAF_01376.npy,2
data/ravdess\Actor_04\03-01-07-02-02-02-04.wav,disgust,ravdess_04,female,ravdess,mel_spectrograms\ravdess_ravdess_04_00199.npy,mel_3channel\ravdess_ravdess_04_00199.npy,mfccs\ravdess_ravdess_04_00199.npy,1
data/ravdess\Actor_15\03-01-06-01-02-01-15.wav,fearful,ravdess_15,male,ravdess,mel_spectrograms\ravdess_ravdess_15_00758.npy,mel_3channel\ravdess_ravdess_15_00758.npy,mfccs\ravdess_ravdess_15_00758.npy,2
data/tess\OAF_happy\OAF_rough_happy.wav,happy,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02390.npy,mel_3channel\tess_tess_OAF_02390.npy,mfccs\tess_tess_OAF_02390.npy,3
data/ravdess\Actor_21\03-01-03-01-02-02-21.wav,happy,ravdess_21,male,ravdess,mel_spectrograms\ravdess_ravdess_21_01047.npy,mel_3channel\ravdess_ravdess_21_01047.npy,mfccs\ravdess_ravdess_21_01047.npy,3
data/tess\YAF_pleasant_surprised\YAF_chair_ps.wav,surprised,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03665.npy,mel_3channel\tess_tess_YAF_03665.npy,mfccs\tess_tess_YAF_03665.npy,6
data/tess\OAF_Pleasant_surprise\OAF_rose_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01588.npy,mel_3channel\tess_tess_OAF_01588.npy,mfccs\tess_tess_OAF_01588.npy,6
data/tess\OAF_neutral\OAF_tire_neutral.wav,neutral,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02622.npy,mel_3channel\tess_tess_OAF_02622.npy,mfccs\tess_tess_OAF_02622.npy,4
data/tess\OAF_Sad\OAF_vote_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01831.npy,mel_3channel\tess_tess_OAF_01831.npy,mfccs\tess_tess_OAF_01831.npy,5
data/ravdess\Actor_08\03-01-06-01-01-02-08.wav,fearful,ravdess_08,female,ravdess,mel_spectrograms\ravdess_ravdess_08_00393.npy,mel_3channel\ravdess_ravdess_08_00393.npy,mfccs\ravdess_ravdess_08_00393.npy,2
data/tess\OAF_Fear\OAF_name_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01357.npy,mel_3channel\tess_tess_OAF_01357.npy,mfccs\tess_tess_OAF_01357.npy,2
data/ravdess\Actor_19\03-01-04-01-01-01-19.wav,sad,ravdess_19,male,ravdess,mel_spectrograms\ravdess_ravdess_19_00948.npy,mel_3channel\ravdess_ravdess_19_00948.npy,mfccs\ravdess_ravdess_19_00948.npy,5
data/ravdess\Actor_21\03-01-04-01-01-01-21.wav,sad,ravdess_21,male,ravdess,mel_spectrograms\ravdess_ravdess_21_01052.npy,mel_3channel\ravdess_ravdess_21_01052.npy,mfccs\ravdess_ravdess_21_01052.npy,5
data/tess\OAF_Pleasant_surprise\OAF_judge_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01517.npy,mel_3channel\tess_tess_OAF_01517.npy,mfccs\tess_tess_OAF_01517.npy,6
data/savee\JE_n08.wav,neutral,savee_JE,male,savee,mel_spectrograms\savee_savee_JE_04235.npy,mel_3channel\savee_savee_JE_04235.npy,mfccs\savee_savee_JE_04235.npy,4
data/tess\YAF_happy\YAF_search_happy.wav,happy,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03394.npy,mel_3channel\tess_tess_YAF_03394.npy,mfccs\tess_tess_YAF_03394.npy,3
data/tess\YAF_sad\YAF_soap_sad.wav,sad,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_04005.npy,mel_3channel\tess_tess_YAF_04005.npy,mfccs\tess_tess_YAF_04005.npy,5
data/tess\OAF_disgust\OAF_puff_disgust.wav,disgust,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02175.npy,mel_3channel\tess_tess_OAF_02175.npy,mfccs\tess_tess_OAF_02175.npy,1
data/ravdess\Actor_21\03-01-06-01-02-02-21.wav,fearful,ravdess_21,male,ravdess,mel_spectrograms\ravdess_ravdess_21_01071.npy,mel_3channel\ravdess_ravdess_21_01071.npy,mfccs\ravdess_ravdess_21_01071.npy,2
data/tess\OAF_neutral\OAF_hate_neutral.wav,neutral,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02504.npy,mel_3channel\tess_tess_OAF_02504.npy,mfccs\tess_tess_OAF_02504.npy,4
data/tess\YAF_pleasant_surprised\YAF_doll_ps.wav,surprised,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03683.npy,mel_3channel\tess_tess_YAF_03683.npy,mfccs\tess_tess_YAF_03683.npy,6
data/tess\OAF_Pleasant_surprise\OAF_seize_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01595.npy,mel_3channel\tess_tess_OAF_01595.npy,mfccs\tess_tess_OAF_01595.npy,6
data/ravdess\Actor_23\03-01-07-02-02-01-23.wav,disgust,ravdess_23,male,ravdess,mel_spectrograms\ravdess_ravdess_23_01186.npy,mel_3channel\ravdess_ravdess_23_01186.npy,mfccs\ravdess_ravdess_23_01186.npy,1
data/ravdess\Actor_22\03-01-05-01-01-02-22.wav,angry,ravdess_22,female,ravdess,mel_spectrograms\ravdess_ravdess_22_01113.npy,mel_3channel\ravdess_ravdess_22_01113.npy,mfccs\ravdess_ravdess_22_01113.npy,0
data/tess\OAF_Pleasant_surprise\OAF_base_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01450.npy,mel_3channel\tess_tess_OAF_01450.npy,mfccs\tess_tess_OAF_01450.npy,6
data/ravdess\Actor_07\03-01-01-01-02-02-07.wav,neutral,ravdess_07,male,ravdess,mel_spectrograms\ravdess_ravdess_07_00315.npy,mel_3channel\ravdess_ravdess_07_00315.npy,mfccs\ravdess_ravdess_07_00315.npy,4
data/tess\YAF_pleasant_surprised\YAF_pass_ps.wav,surprised,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03766.npy,mel_3channel\tess_tess_YAF_03766.npy,mfccs\tess_tess_YAF_03766.npy,6
data/ravdess\Actor_02\03-01-04-01-01-01-02.wav,sad,ravdess_02,female,ravdess,mel_spectrograms\ravdess_ravdess_02_00064.npy,mel_3channel\ravdess_ravdess_02_00064.npy,mfccs\ravdess_ravdess_02_00064.npy,5
data/ravdess\Actor_05\03-01-03-01-01-01-05.wav,happy,ravdess_05,male,ravdess,mel_spectrograms\ravdess_ravdess_05_00212.npy,mel_3channel\ravdess_ravdess_05_00212.npy,mfccs\ravdess_ravdess_05_00212.npy,3
data/tess\OAF_Fear\OAF_ditch_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01280.npy,mel_3channel\tess_tess_OAF_01280.npy,mfccs\tess_tess_OAF_01280.npy,2
data/ravdess\Actor_21\03-01-05-01-01-01-21.wav,angry,ravdess_21,male,ravdess,mel_spectrograms\ravdess_ravdess_21_01060.npy,mel_3channel\ravdess_ravdess_21_01060.npy,mfccs\ravdess_ravdess_21_01060.npy,0
data/tess\OAF_angry\OAF_wife_angry.wav,angry,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02041.npy,mel_3channel\tess_tess_OAF_02041.npy,mfccs\tess_tess_OAF_02041.npy,0
data/ravdess\Actor_14\03-01-04-01-01-02-14.wav,sad,ravdess_14,female,ravdess,mel_spectrograms\ravdess_ravdess_14_00689.npy,mel_3channel\ravdess_ravdess_14_00689.npy,mfccs\ravdess_ravdess_14_00689.npy,5
data/savee\JE_su15.wav,surprised,savee_JE,male,savee,mel_spectrograms\savee_savee_JE_04287.npy,mel_3channel\savee_savee_JE_04287.npy,mfccs\savee_savee_JE_04287.npy,6
data/savee\JE_n20.wav,neutral,savee_JE,male,savee,mel_spectrograms\savee_savee_JE_04247.npy,mel_3channel\savee_savee_JE_04247.npy,mfccs\savee_savee_JE_04247.npy,4
data/savee\JK_sa14.wav,sad,savee_JK,male,savee,mel_spectrograms\savee_savee_JK_04391.npy,mel_3channel\savee_savee_JK_04391.npy,mfccs\savee_savee_JK_04391.npy,5
data/tess\OAF_Pleasant_surprise\OAF_moon_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01553.npy,mel_3channel\tess_tess_OAF_01553.npy,mfccs\tess_tess_OAF_01553.npy,6
data/tess\OAF_neutral\OAF_sell_neutral.wav,neutral,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02595.npy,mel_3channel\tess_tess_OAF_02595.npy,mfccs\tess_tess_OAF_02595.npy,4
data/savee\DC_n06.wav,neutral,savee_DC,male,savee,mel_spectrograms\savee_savee_DC_04113.npy,mel_3channel\savee_savee_DC_04113.npy,mfccs\savee_savee_DC_04113.npy,4
data/ravdess\Actor_06\03-01-07-01-02-02-06.wav,disgust,ravdess_06,female,ravdess,mel_spectrograms\ravdess_ravdess_06_00299.npy,mel_3channel\ravdess_ravdess_06_00299.npy,mfccs\ravdess_ravdess_06_00299.npy,1
data/ravdess\Actor_01\03-01-08-01-01-01-01.wav,surprised,ravdess_01,male,ravdess,mel_spectrograms\ravdess_ravdess_01_00044.npy,mel_3channel\ravdess_ravdess_01_00044.npy,mfccs\ravdess_ravdess_01_00044.npy,6
data/tess\YAF_neutral\YAF_mop_neutral.wav,neutral,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03554.npy,mel_3channel\tess_tess_YAF_03554.npy,mfccs\tess_tess_YAF_03554.npy,4
data/tess\YAF_disgust\YAF_shirt_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03001.npy,mel_3channel\tess_tess_YAF_03001.npy,mfccs\tess_tess_YAF_03001.npy,1
data/tess\OAF_Pleasant_surprise\OAF_gun_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01501.npy,mel_3channel\tess_tess_OAF_01501.npy,mfccs\tess_tess_OAF_01501.npy,6
data/tess\YAF_disgust\YAF_pick_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02971.npy,mel_3channel\tess_tess_YAF_02971.npy,mfccs\tess_tess_YAF_02971.npy,1
data/tess\OAF_happy\OAF_dog_happy.wav,happy,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02282.npy,mel_3channel\tess_tess_OAF_02282.npy,mfccs\tess_tess_OAF_02282.npy,3
data/tess\OAF_happy\OAF_goal_happy.wav,happy,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02298.npy,mel_3channel\tess_tess_OAF_02298.npy,mfccs\tess_tess_OAF_02298.npy,3
data/tess\YAF_happy\YAF_hash_happy.wav,happy,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03304.npy,mel_3channel\tess_tess_YAF_03304.npy,mfccs\tess_tess_YAF_03304.npy,3
data/tess\YAF_pleasant_surprised\YAF_far_ps.wav,surprised,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03687.npy,mel_3channel\tess_tess_YAF_03687.npy,mfccs\tess_tess_YAF_03687.npy,6
data/tess\OAF_happy\OAF_bath_happy.wav,happy,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02251.npy,mel_3channel\tess_tess_OAF_02251.npy,mfccs\tess_tess_OAF_02251.npy,3
data/tess\YAF_disgust\YAF_pain_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02965.npy,mel_3channel\tess_tess_YAF_02965.npy,mfccs\tess_tess_YAF_02965.npy,1
data/ravdess\Actor_04\03-01-04-01-01-02-04.wav,sad,ravdess_04,female,ravdess,mel_spectrograms\ravdess_ravdess_04_00169.npy,mel_3channel\ravdess_ravdess_04_00169.npy,mfccs\ravdess_ravdess_04_00169.npy,5
data/ravdess\Actor_20\03-01-06-01-01-02-20.wav,fearful,ravdess_20,female,ravdess,mel_spectrograms\ravdess_ravdess_20_01017.npy,mel_3channel\ravdess_ravdess_20_01017.npy,mfccs\ravdess_ravdess_20_01017.npy,2
data/ravdess\Actor_11\03-01-05-01-01-01-11.wav,angry,ravdess_11,male,ravdess,mel_spectrograms\ravdess_ravdess_11_00540.npy,mel_3channel\ravdess_ravdess_11_00540.npy,mfccs\ravdess_ravdess_11_00540.npy,0
data/ravdess\Actor_13\03-01-03-01-01-01-13.wav,happy,ravdess_13,male,ravdess,mel_spectrograms\ravdess_ravdess_13_00628.npy,mel_3channel\ravdess_ravdess_13_00628.npy,mfccs\ravdess_ravdess_13_00628.npy,3
data/savee\JK_n23.wav,neutral,savee_JK,male,savee,mel_spectrograms\savee_savee_JK_04370.npy,mel_3channel\savee_savee_JK_04370.npy,mfccs\savee_savee_JK_04370.npy,4
data/savee\DC_d01.wav,disgust,savee_DC,male,savee,mel_spectrograms\savee_savee_DC_04063.npy,mel_3channel\savee_savee_DC_04063.npy,mfccs\savee_savee_DC_04063.npy,1
data/ravdess\Actor_03\03-01-07-02-02-01-03.wav,disgust,ravdess_03,male,ravdess,mel_spectrograms\ravdess_ravdess_03_00146.npy,mel_3channel\ravdess_ravdess_03_00146.npy,mfccs\ravdess_ravdess_03_00146.npy,1
data/ravdess\Actor_11\03-01-03-01-01-02-11.wav,happy,ravdess_11,male,ravdess,mel_spectrograms\ravdess_ravdess_11_00525.npy,mel_3channel\ravdess_ravdess_11_00525.npy,mfccs\ravdess_ravdess_11_00525.npy,3
data/tess\OAF_Fear\OAF_tough_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01426.npy,mel_3channel\tess_tess_OAF_01426.npy,mfccs\tess_tess_OAF_01426.npy,2
data/tess\OAF_Pleasant_surprise\OAF_white_ps.wav,surprised,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01640.npy,mel_3channel\tess_tess_OAF_01640.npy,mfccs\tess_tess_OAF_01640.npy,6
data/tess\YAF_angry\YAF_phone_angry.wav,angry,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02770.npy,mel_3channel\tess_tess_YAF_02770.npy,mfccs\tess_tess_YAF_02770.npy,0
data/tess\OAF_angry\OAF_ton_angry.wav,angry,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02024.npy,mel_3channel\tess_tess_OAF_02024.npy,mfccs\tess_tess_OAF_02024.npy,0
data/ravdess\Actor_19\03-01-03-01-02-02-19.wav,happy,ravdess_19,male,ravdess,mel_spectrograms\ravdess_ravdess_19_00943.npy,mel_3channel\ravdess_ravdess_19_00943.npy,mfccs\ravdess_ravdess_19_00943.npy,3
data/savee\DC_n04.wav,neutral,savee_DC,male,savee,mel_spectrograms\savee_savee_DC_04111.npy,mel_3channel\savee_savee_DC_04111.npy,mfccs\savee_savee_DC_04111.npy,4
data/tess\YAF_neutral\YAF_bought_neutral.wav,neutral,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03458.npy,mel_3channel\tess_tess_YAF_03458.npy,mfccs\tess_tess_YAF_03458.npy,4
data/ravdess\Actor_19\03-01-06-02-01-01-19.wav,fearful,ravdess_19,male,ravdess,mel_spectrograms\ravdess_ravdess_19_00968.npy,mel_3channel\ravdess_ravdess_19_00968.npy,mfccs\ravdess_ravdess_19_00968.npy,2
data/tess\OAF_neutral\OAF_wash_neutral.wav,neutral,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_02633.npy,mel_3channel\tess_tess_OAF_02633.npy,mfccs\tess_tess_OAF_02633.npy,4
data/tess\YAF_sad\YAF_wheat_sad.wav,sad,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_04036.npy,mel_3channel\tess_tess_YAF_04036.npy,mfccs\tess_tess_YAF_04036.npy,5
data/tess\YAF_disgust\YAF_kite_disgust.wav,disgust,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02926.npy,mel_3channel\tess_tess_YAF_02926.npy,mfccs\tess_tess_YAF_02926.npy,1
data/ravdess\Actor_14\03-01-06-01-01-02-14.wav,fearful,ravdess_14,female,ravdess,mel_spectrograms\ravdess_ravdess_14_00705.npy,mel_3channel\ravdess_ravdess_14_00705.npy,mfccs\ravdess_ravdess_14_00705.npy,2
data/tess\YAF_angry\YAF_wag_angry.wav,angry,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02832.npy,mel_3channel\tess_tess_YAF_02832.npy,mfccs\tess_tess_YAF_02832.npy,0
data/tess\OAF_Fear\OAF_shack_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01397.npy,mel_3channel\tess_tess_OAF_01397.npy,mfccs\tess_tess_OAF_01397.npy,2
data/tess\YAF_fear\YAF_came_fear.wav,fearful,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03062.npy,mel_3channel\tess_tess_YAF_03062.npy,mfccs\tess_tess_YAF_03062.npy,2
data/tess\YAF_sad\YAF_turn_sad.wav,sad,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_04027.npy,mel_3channel\tess_tess_YAF_04027.npy,mfccs\tess_tess_YAF_04027.npy,5
data/tess\OAF_Sad\OAF_wag_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01832.npy,mel_3channel\tess_tess_OAF_01832.npy,mfccs\tess_tess_OAF_01832.npy,5
